k,Instance_Index,MRR,Precision,IRR
5,0,0.0,0.0,0.05554116825230131
10,0,0.14285714285714285,0.1,0.16329305584429393
20,0,0.14285714285714285,0.15,0.2478577504223914
5,1,0.0,0.0,0.05554116825230131
10,1,0.14285714285714285,0.1,0.16329305584429393
20,1,0.14285714285714285,0.15,0.2478577504223914
5,2,0.0,0.0,0.05554116825230131
10,2,0.14285714285714285,0.1,0.16329305584429393
20,2,0.14285714285714285,0.15,0.2478577504223914
5,3,0.0,0.0,0.05554116825230131
10,3,0.14285714285714285,0.1,0.16329305584429393
20,3,0.14285714285714285,0.15,0.2478577504223914
5,4,0.0,0.0,0.05554116825230131
10,4,0.14285714285714285,0.1,0.16329305584429393
20,4,0.14285714285714285,0.15,0.2478577504223914
5,5,0.0,0.0,0.05554116825230131
10,5,0.14285714285714285,0.1,0.16329305584429393
20,5,0.14285714285714285,0.15,0.2478577504223914
5,6,0.0,0.0,0.05554116825230131
10,6,0.14285714285714285,0.1,0.16329305584429393
20,6,0.14285714285714285,0.15,0.2478577504223914
5,7,0.0,0.0,0.05554116825230131
10,7,0.14285714285714285,0.1,0.16329305584429393
20,7,0.14285714285714285,0.15,0.2478577504223914
5,8,0.0,0.0,0.05554116825230131
10,8,0.14285714285714285,0.1,0.16329305584429393
20,8,0.14285714285714285,0.15,0.2478577504223914
5,9,0.0,0.0,0.05554116825230131
10,9,0.14285714285714285,0.1,0.16329305584429393
20,9,0.14285714285714285,0.15,0.2478577504223914
5,10,0.0,0.0,0.05554116825230131
10,10,0.14285714285714285,0.1,0.16329305584429393
20,10,0.14285714285714285,0.15,0.2478577504223914
5,11,0.0,0.0,0.05554116825230131
10,11,0.14285714285714285,0.1,0.16329305584429393
20,11,0.14285714285714285,0.15,0.2478577504223914
5,12,0.0,0.0,0.05554116825230131
10,12,0.14285714285714285,0.1,0.16329305584429393
20,12,0.14285714285714285,0.15,0.2478577504223914
5,13,0.0,0.0,0.05554116825230131
10,13,0.14285714285714285,0.1,0.16329305584429393
20,13,0.14285714285714285,0.15,0.2478577504223914
5,14,0.0,0.0,0.05554116825230131
10,14,0.14285714285714285,0.1,0.16329305584429393
20,14,0.14285714285714285,0.15,0.2478577504223914
5,15,0.0,0.0,0.05554116825230131
10,15,0.14285714285714285,0.1,0.16329305584429393
20,15,0.14285714285714285,0.15,0.2478577504223914
5,16,0.0,0.0,0.05554116825230131
10,16,0.14285714285714285,0.1,0.16329305584429393
20,16,0.14285714285714285,0.15,0.2478577504223914
5,17,0.0,0.0,0.05554116825230131
10,17,0.14285714285714285,0.1,0.16329305584429393
20,17,0.14285714285714285,0.15,0.2478577504223914
5,18,0.0,0.0,0.05554116825230131
10,18,0.14285714285714285,0.1,0.16329305584429393
20,18,0.14285714285714285,0.15,0.2478577504223914
5,19,0.0,0.0,0.05554116825230131
10,19,0.14285714285714285,0.1,0.16329305584429393
20,19,0.14285714285714285,0.15,0.2478577504223914
5,20,0.0,0.0,0.05554116825230131
10,20,0.14285714285714285,0.1,0.16329305584429393
20,20,0.14285714285714285,0.15,0.2478577504223914
5,21,0.0,0.0,0.05554116825230131
10,21,0.14285714285714285,0.1,0.16329305584429393
20,21,0.14285714285714285,0.15,0.2478577504223914
5,22,0.0,0.0,0.05554116825230131
10,22,0.14285714285714285,0.1,0.16329305584429393
20,22,0.14285714285714285,0.15,0.2478577504223914
5,23,0.0,0.0,0.05554116825230131
10,23,0.14285714285714285,0.1,0.16329305584429393
20,23,0.14285714285714285,0.15,0.2478577504223914
5,24,0.0,0.0,0.05554116825230131
10,24,0.14285714285714285,0.1,0.16329305584429393
20,24,0.14285714285714285,0.15,0.2478577504223914
5,25,0.0,0.0,0.05554116825230131
10,25,0.14285714285714285,0.1,0.16329305584429393
20,25,0.14285714285714285,0.15,0.2478577504223914
5,26,0.0,0.0,0.05554116825230131
10,26,0.14285714285714285,0.1,0.16329305584429393
20,26,0.14285714285714285,0.15,0.2478577504223914
5,27,0.0,0.0,0.05554116825230131
10,27,0.14285714285714285,0.1,0.16329305584429393
20,27,0.14285714285714285,0.15,0.2478577504223914
5,28,0.0,0.0,0.05554116825230131
10,28,0.14285714285714285,0.1,0.16329305584429393
20,28,0.14285714285714285,0.15,0.2478577504223914
5,29,0.0,0.0,0.05554116825230131
10,29,0.14285714285714285,0.1,0.16329305584429393
20,29,0.14285714285714285,0.15,0.2478577504223914
5,30,0.0,0.0,0.05554116825230131
10,30,0.14285714285714285,0.1,0.16329305584429393
20,30,0.14285714285714285,0.15,0.2478577504223914
5,31,0.0,0.0,0.05554116825230131
10,31,0.14285714285714285,0.1,0.16329305584429393
20,31,0.14285714285714285,0.15,0.2478577504223914
5,32,0.0,0.0,0.05554116825230131
10,32,0.14285714285714285,0.1,0.16329305584429393
20,32,0.14285714285714285,0.15,0.2478577504223914
5,33,0.0,0.0,0.05554116825230131
10,33,0.14285714285714285,0.1,0.16329305584429393
20,33,0.14285714285714285,0.15,0.2478577504223914
5,34,0.0,0.0,0.05554116825230131
10,34,0.14285714285714285,0.1,0.16329305584429393
20,34,0.14285714285714285,0.15,0.2478577504223914
5,35,0.0,0.0,0.05554116825230131
10,35,0.14285714285714285,0.1,0.16329305584429393
20,35,0.14285714285714285,0.15,0.2478577504223914
5,36,0.0,0.0,0.05554116825230131
10,36,0.14285714285714285,0.1,0.16329305584429393
20,36,0.14285714285714285,0.15,0.2478577504223914
5,37,0.0,0.0,0.05554116825230131
10,37,0.14285714285714285,0.1,0.16329305584429393
20,37,0.14285714285714285,0.15,0.2478577504223914
5,38,0.0,0.0,0.05554116825230131
10,38,0.14285714285714285,0.1,0.16329305584429393
20,38,0.14285714285714285,0.15,0.2478577504223914
5,39,0.0,0.0,0.05554116825230131
10,39,0.14285714285714285,0.1,0.16329305584429393
20,39,0.14285714285714285,0.15,0.2478577504223914
5,40,0.0,0.0,0.05554116825230131
10,40,0.14285714285714285,0.1,0.16329305584429393
20,40,0.14285714285714285,0.15,0.2478577504223914
5,41,0.0,0.0,0.05554116825230131
10,41,0.14285714285714285,0.1,0.16329305584429393
20,41,0.14285714285714285,0.15,0.2478577504223914
5,42,0.0,0.0,0.05554116825230131
10,42,0.14285714285714285,0.1,0.16329305584429393
20,42,0.14285714285714285,0.15,0.2478577504223914
5,43,0.0,0.0,0.05554116825230131
10,43,0.14285714285714285,0.1,0.16329305584429393
20,43,0.14285714285714285,0.15,0.2478577504223914
5,44,0.0,0.0,0.05554116825230131
10,44,0.14285714285714285,0.1,0.16329305584429393
20,44,0.14285714285714285,0.15,0.2478577504223914
5,45,0.0,0.0,0.05554116825230131
10,45,0.14285714285714285,0.1,0.16329305584429393
20,45,0.14285714285714285,0.15,0.2478577504223914
5,46,0.0,0.0,0.05554116825230131
10,46,0.14285714285714285,0.1,0.16329305584429393
20,46,0.14285714285714285,0.15,0.2478577504223914
5,47,0.0,0.0,0.05554116825230131
10,47,0.14285714285714285,0.1,0.16329305584429393
20,47,0.14285714285714285,0.15,0.2478577504223914
5,48,0.0,0.0,0.05554116825230131
10,48,0.14285714285714285,0.1,0.16329305584429393
20,48,0.14285714285714285,0.15,0.2478577504223914
5,49,0.0,0.0,0.05554116825230131
10,49,0.14285714285714285,0.1,0.16329305584429393
20,49,0.14285714285714285,0.15,0.2478577504223914
